record,sample,time_seconds,annotation_code,annotation,symbol,description,event,wave,subtype,channel,number,aux
123,463,1.2861111111111112,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
123,479,1.3305555555555555,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
123,499,1.386111111111111,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
123,526,1.461111111111111,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
123,551,1.5305555555555554,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
123,568,1.5777777777777777,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
123,631,1.7527777777777778,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
123,663,1.8416666666666666,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
123,693,1.925,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
123,934,2.5944444444444446,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
123,950,2.638888888888889,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
123,970,2.6944444444444446,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
123,1004,2.7888888888888888,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
123,1022,2.838888888888889,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
123,1036,2.8777777777777778,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
123,1099,3.0527777777777776,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
123,1133,3.147222222222222,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
123,1162,3.227777777777778,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
123,1410,3.9166666666666665,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
123,1427,3.963888888888889,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
123,1448,4.022222222222222,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
123,1483,4.1194444444444445,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
123,1499,4.163888888888889,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
123,1514,4.205555555555556,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
123,1574,4.372222222222222,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
123,1611,4.475,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
123,1642,4.561111111111111,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
123,1835,5.097222222222222,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
123,1853,5.147222222222222,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
123,1873,5.2027777777777775,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
123,1906,5.294444444444444,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
123,1926,5.35,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
123,1943,5.397222222222222,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
123,1998,5.55,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
123,2035,5.652777777777778,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
123,2063,5.730555555555555,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
123,2247,6.241666666666666,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
123,2264,6.288888888888889,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
123,2284,6.344444444444444,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
123,2323,6.4527777777777775,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
123,2341,6.502777777777778,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
123,2357,6.5472222222222225,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
123,2420,6.722222222222222,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
123,2453,6.813888888888889,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
123,2483,6.897222222222222,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
123,2733,7.591666666666667,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
123,2751,7.641666666666667,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
123,2772,7.7,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
123,2805,7.791666666666667,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
123,2822,7.838888888888889,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
123,2837,7.8805555555555555,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
123,2900,8.055555555555555,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
123,2934,8.15,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
123,2962,8.227777777777778,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
123,3166,8.794444444444444,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
123,3186,8.85,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
123,3205,8.902777777777779,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
123,3239,8.997222222222222,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
123,3260,9.055555555555555,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
123,3280,9.11111111111111,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
123,3343,9.286111111111111,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
123,3374,9.372222222222222,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
123,3401,9.447222222222223,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
123,3576,9.933333333333334,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
123,3593,9.980555555555556,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
123,3612,10.033333333333333,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
123,3647,10.130555555555556,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
123,3668,10.188888888888888,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
123,3684,10.233333333333333,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
123,3746,10.405555555555555,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
123,3777,10.491666666666667,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
123,3806,10.572222222222223,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
123,4062,11.283333333333333,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
123,4080,11.333333333333334,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
123,4104,11.4,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
123,4137,11.491666666666667,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
123,4155,11.541666666666666,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
123,4170,11.583333333333334,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
123,4236,11.766666666666667,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
123,4271,11.863888888888889,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
123,4300,11.944444444444445,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
123,4539,12.608333333333333,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
123,4558,12.661111111111111,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
123,4578,12.716666666666667,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
123,4609,12.802777777777777,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
123,4631,12.863888888888889,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
123,4648,12.911111111111111,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
123,4705,13.069444444444445,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
123,4742,13.172222222222222,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
123,4771,13.252777777777778,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
123,4979,13.830555555555556,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
123,4996,13.877777777777778,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
123,5016,13.933333333333334,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
123,5052,14.033333333333333,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
123,5072,14.088888888888889,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
123,5092,14.144444444444444,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
123,5151,14.308333333333334,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
123,5190,14.416666666666666,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
123,5218,14.494444444444444,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
123,5504,15.28888888888889,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
123,5522,15.338888888888889,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
123,5544,15.4,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
123,5579,15.497222222222222,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
123,5595,15.541666666666666,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
123,5609,15.580555555555556,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
123,5675,15.76388888888889,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
123,5709,15.858333333333333,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
123,5739,15.941666666666666,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
123,5979,16.608333333333334,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
123,5998,16.66111111111111,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
123,6020,16.72222222222222,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
123,6051,16.808333333333334,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
123,6074,16.872222222222224,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
123,6092,16.92222222222222,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
123,6156,17.1,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
123,6186,17.183333333333334,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
123,6215,17.26388888888889,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
123,6421,17.836111111111112,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
123,6439,17.886111111111113,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
123,6457,17.93611111111111,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
123,6493,18.03611111111111,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
123,6512,18.08888888888889,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
123,6528,18.133333333333333,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
123,6588,18.3,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
123,6624,18.4,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
123,6655,18.48611111111111,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
123,6898,19.16111111111111,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
123,6916,19.211111111111112,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
123,6938,19.272222222222222,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
123,6973,19.369444444444444,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
123,6992,19.42222222222222,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
123,7007,19.46388888888889,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
123,7071,19.641666666666666,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
123,7108,19.744444444444444,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
123,7137,19.825,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
123,7381,20.502777777777776,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
