record,sample,time_seconds,annotation_code,annotation,symbol,description,event,wave,subtype,channel,number,aux
230,274,0.7611111111111111,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
230,286,0.7944444444444444,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
230,306,0.85,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
230,334,0.9277777777777778,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
230,351,0.975,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
230,369,1.025,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
230,405,1.125,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
230,433,1.2027777777777777,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
230,472,1.3111111111111111,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
230,539,1.4972222222222222,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
230,556,1.5444444444444445,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
230,577,1.6027777777777779,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
230,599,1.663888888888889,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
230,617,1.7138888888888888,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
230,634,1.761111111111111,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
230,666,1.85,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
230,697,1.9361111111111111,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
230,732,2.033333333333333,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
230,802,2.227777777777778,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
230,820,2.2777777777777777,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
230,841,2.3361111111111112,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
230,853,2.3694444444444445,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
230,881,2.4472222222222224,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
230,899,2.4972222222222222,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
230,913,2.536111111111111,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
230,964,2.6777777777777776,27,TWAVE,t,T-wave peak,t_peak,t,0,0,5,
230,997,2.7694444444444444,27,TWAVE,t,T-wave peak,t_peak,t,0,0,5,
230,1023,2.841666666666667,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
230,1080,3.0,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
230,1096,3.0444444444444443,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
230,1110,3.0833333333333335,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
230,1122,3.1166666666666667,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
230,1148,3.188888888888889,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
230,1157,3.213888888888889,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
230,1186,3.2944444444444443,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
230,1221,3.3916666666666666,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
230,1256,3.488888888888889,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
230,1324,3.6777777777777776,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
230,1338,3.716666666666667,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
230,1361,3.7805555555555554,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
230,1385,3.8472222222222223,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
230,1401,3.8916666666666666,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
230,1418,3.938888888888889,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
230,1438,3.9944444444444445,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
230,1476,4.1,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
230,1520,4.222222222222222,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
230,1585,4.402777777777778,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
230,1599,4.441666666666666,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
230,1621,4.502777777777778,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
230,1631,4.530555555555556,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
230,1667,4.6305555555555555,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
230,1684,4.677777777777778,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
230,1717,4.769444444444445,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
230,1758,4.883333333333334,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
230,1776,4.933333333333334,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
230,1849,5.136111111111111,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
230,1864,5.177777777777778,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
230,1882,5.227777777777778,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
230,1889,5.247222222222222,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
230,1928,5.355555555555555,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
230,1943,5.397222222222222,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
230,1954,5.427777777777778,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
230,1981,5.502777777777778,27,TWAVE,t,T-wave peak,t_peak,t,0,0,4,
230,2019,5.608333333333333,27,TWAVE,t,T-wave peak,t_peak,t,0,0,4,
230,2039,5.663888888888889,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
230,2126,5.905555555555556,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
230,2142,5.95,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
230,2158,5.9944444444444445,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
230,2162,6.0055555555555555,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
230,2201,6.113888888888889,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
230,2216,6.155555555555556,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
230,2263,6.286111111111111,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
230,2289,6.358333333333333,27,TWAVE,t,T-wave peak,t_peak,t,0,0,5,
230,2320,6.444444444444445,27,TWAVE,t,T-wave peak,t_peak,t,0,0,5,
230,2355,6.541666666666667,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
230,2390,6.638888888888889,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
230,2402,6.6722222222222225,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
230,2422,6.727777777777778,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
230,2427,6.741666666666666,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
230,2468,6.855555555555555,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
230,2484,6.9,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
230,2512,6.977777777777778,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
230,2521,7.002777777777778,27,TWAVE,t,T-wave peak,t_peak,t,0,0,4,
230,2556,7.1,27,TWAVE,t,T-wave peak,t_peak,t,0,0,4,
230,2577,7.158333333333333,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
230,2649,7.358333333333333,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
230,2663,7.397222222222222,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
230,2682,7.45,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
230,2690,7.472222222222222,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
230,2727,7.575,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
230,2743,7.6194444444444445,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
230,2773,7.7027777777777775,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
230,2805,7.791666666666667,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
230,2841,7.891666666666667,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
230,2906,8.072222222222223,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
230,2922,8.116666666666667,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
230,2942,8.172222222222222,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
230,2949,8.191666666666666,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
230,2986,8.294444444444444,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
230,3002,8.338888888888889,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
230,3048,8.466666666666667,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
230,3076,8.544444444444444,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
230,3092,8.588888888888889,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
230,3106,8.627777777777778,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
230,3124,8.677777777777777,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
230,3155,8.76388888888889,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
230,3208,8.911111111111111,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
230,3244,9.011111111111111,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
230,3260,9.055555555555555,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
230,3266,9.072222222222223,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
230,3296,9.155555555555555,27,TWAVE,t,T-wave peak,t_peak,t,0,0,4,
230,3379,9.386111111111111,27,TWAVE,t,T-wave peak,t_peak,t,0,0,4,
230,3408,9.466666666666667,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
