record,sample,time_seconds,annotation_code,annotation,symbol,description,event,wave,subtype,channel,number,aux
105,119,0.33055555555555555,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
105,138,0.38333333333333336,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
105,154,0.42777777777777776,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
105,178,0.49444444444444446,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
105,197,0.5472222222222223,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
105,219,0.6083333333333333,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
105,266,0.7388888888888889,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
105,295,0.8194444444444444,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
105,318,0.8833333333333333,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
105,383,1.0638888888888889,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
105,402,1.1166666666666667,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
105,417,1.1583333333333334,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
105,442,1.2277777777777779,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
105,459,1.275,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
105,493,1.3694444444444445,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
105,527,1.4638888888888888,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
105,554,1.538888888888889,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
105,582,1.6166666666666667,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
105,636,1.7666666666666666,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
105,652,1.8111111111111111,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
105,667,1.8527777777777779,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
105,692,1.9222222222222223,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
105,708,1.9666666666666666,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
105,726,2.0166666666666666,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
105,778,2.161111111111111,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
105,808,2.2444444444444445,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
105,841,2.3361111111111112,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
105,892,2.477777777777778,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
105,910,2.5277777777777777,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
105,924,2.566666666666667,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
105,949,2.636111111111111,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
105,964,2.6777777777777776,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
105,982,2.727777777777778,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
105,1034,2.8722222222222222,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
105,1062,2.95,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
105,1090,3.0277777777777777,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
105,1150,3.1944444444444446,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
105,1167,3.2416666666666667,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
105,1182,3.283333333333333,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
105,1196,3.3222222222222224,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
105,1221,3.3916666666666666,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
105,1239,3.441666666666667,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
105,1290,3.5833333333333335,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
105,1316,3.6555555555555554,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
105,1345,3.736111111111111,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
105,1405,3.9027777777777777,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
105,1422,3.95,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
105,1438,3.9944444444444445,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
105,1452,4.033333333333333,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
105,1478,4.105555555555555,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
105,1497,4.158333333333333,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
105,1549,4.302777777777778,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
105,1576,4.377777777777778,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
105,1603,4.4527777777777775,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
105,1666,4.627777777777778,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
105,1684,4.677777777777778,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
105,1699,4.719444444444444,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
105,1725,4.791666666666667,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
105,1741,4.836111111111111,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
105,1764,4.9,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
105,1788,4.966666666666667,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
105,1800,5.0,27,TWAVE,t,T-wave peak,t_peak,t,0,0,4,
105,1843,5.1194444444444445,27,TWAVE,t,T-wave peak,t_peak,t,0,0,4,
105,1881,5.225,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
105,1937,5.3805555555555555,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
105,1956,5.433333333333334,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
105,1971,5.475,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
105,1987,5.519444444444445,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
105,2015,5.597222222222222,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
105,2038,5.661111111111111,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
105,2087,5.7972222222222225,39,WFON,(,Waveform onset,t_onset,t,0,0,2,
105,2119,5.886111111111111,27,TWAVE,t,T-wave peak,t_peak,t,0,0,0,
105,2151,5.975,40,WFOFF,),Waveform end,t_offset,t,0,0,2,
105,2211,6.141666666666667,39,WFON,(,Waveform onset,p_onset,p,0,0,0,
105,2231,6.197222222222222,24,PWAVE,p,P-wave peak,p_peak,p,0,0,0,
105,2246,6.238888888888889,40,WFOFF,),Waveform end,p_offset,p,0,0,0,
105,2270,6.305555555555555,39,WFON,(,Waveform onset,qrs_onset,qrs,0,0,1,
105,2286,6.35,1,NORMAL,N,Normal beat,qrs_peak,qrs,0,0,0,
105,2305,6.402777777777778,40,WFOFF,),Waveform end,qrs_offset,qrs,0,0,1,
